,Athlete Name,Medal Type,Medal Date,Country Code,Gender,Sport Discipline
0,Remco EVENEPOEL,Gold Medal,27 JUL,BEL,M,Cycling Road
1,Filippo GANNA,Silver Medal,27 JUL,ITA,M,Cycling Road
2,Wout van AERT,Bronze Medal,27 JUL,BEL,M,Cycling Road
3,Grace BROWN,Gold Medal,27 JUL,AUS,W,Cycling Road
4,Anna HENDERSON,Silver Medal,27 JUL,GBR,W,Cycling Road
5,Chloe DYGERT,Bronze Medal,27 JUL,USA,W,Cycling Road
7,OH Sanguk,Gold Medal,27 JUL,KOR,M,Fencing
8,Fares FERJANI,Silver Medal,27 JUL,TUN,M,Fencing
9,Luigi SAMELE,Bronze Medal,27 JUL,ITA,M,Fencing
10,KONG Man Wai Vivian,Gold Medal,27 JUL,HKG,W,Fencing
11,Auriane MALLO-BRETON,Silver Medal,27 JUL,FRA,W,Fencing
12,Eszter MUHARI,Bronze Medal,27 JUL,HUN,W,Fencing
13,Yeldos SMETOV,Gold Medal,27 JUL,KAZ,M,Judo
14,Luka MKHEIDZE,Silver Medal,27 JUL,FRA,M,Judo
15,NAGAYAMA Ryuju,Bronze Medal,27 JUL,JPN,M,Judo
16,Francisco GARRIGOS,Bronze Medal,27 JUL,ESP,M,Judo
17,TSUNODA Natsumi,Gold Medal,27 JUL,JPN,W,Judo
18,Baasankhuu BAVUUDORJ,Silver Medal,27 JUL,MGL,W,Judo
19,Shirine BOUKLI,Bronze Medal,27 JUL,FRA,W,Judo
20,Tara BABULFATH,Bronze Medal,27 JUL,SWE,W,Judo
24,Lukas MAERTENS,Gold Medal,27 JUL,GER,M,Swimming
25,Elijah WINNINGTON,Silver Medal,27 JUL,AUS,M,Swimming
26,KIM Woomin,Bronze Medal,27 JUL,KOR,M,Swimming
27,Ariarne TITMUS,Gold Medal,27 JUL,AUS,W,Swimming
28,Summer McINTOSH,Silver Medal,27 JUL,CAN,W,Swimming
29,Katie LEDECKY,Bronze Medal,27 JUL,USA,W,Swimming
31,Jessica FOX,Gold Medal,28 JUL,AUS,W,Canoe Slalom
32,Klaudia ZWOLINSKA,Silver Medal,28 JUL,POL,W,Canoe Slalom
33,Kimberley WOODS,Bronze Medal,28 JUL,GBR,W,Canoe Slalom
34,Pauline FERRAND PREVOT,Gold Medal,28 JUL,FRA,W,Cycling Mountain Bike
35,Haley BATTEN,Silver Medal,28 JUL,USA,W,Cycling Mountain Bike
36,Jenny RISSVEDS,Bronze Medal,28 JUL,SWE,W,Cycling Mountain Bike
37,KANO Koki,Gold Medal,28 JUL,JPN,M,Fencing
38,Yannick BOREL,Silver Medal,28 JUL,FRA,M,Fencing
