Athlete Name,Medal Type,Medal Date,Country Code,Gender,Sport Discipline
Remco EVENEPOEL,Gold Medal,7/27/2024,BEL,M,Cycling Road
Filippo GANNA,Silver Medal,7/27/2024,ITA,M,Cycling Road
Aaron Marquel BROOKS,Bronze Medal,8/9/2024,USA,M,Wrestling
China,Gold Medal,7/27/2024,CHN,F,Diving
United States,Silver Medal,7/27/2024,USA,F,Diving
Abraham KIBIWOT,Bronze Medal,8/7/2024,KEN,M,Athletics
OH Sanguk,Gold Medal,7/27/2024,KOR,M,Fencing
Fares FERJANI,Silver Medal,7/27/2024,TUN,M,Fencing
Adil OSMANOV,Bronze Medal,7/29/2024,MDA,M,Judo
KONG Man Wai Vivian,Gold Medal,7/27/2024,HKG,F,Fencing
Auriane MALLO-BRETON,Silver Medal,7/27/2024,FRA,F,Fencing
Aira VILLEGAS,Bronze Medal,8/6/2024,PHI,F,Boxing
Yeldos SMETOV,Gold Medal,7/27/2024,KAZ,M,Judo
Luka MKHEIDZE,Silver Medal,7/27/2024,FRA,M,Judo
Aisuluu TYNYBEKOVA,Bronze Medal,8/10/2024,KGZ,F,Wrestling
Akzhol MAKHMUDOV,Bronze Medal,8/7/2024,KGZ,M,Wrestling
TSUNODA Natsumi,Gold Medal,7/27/2024,JPN,F,Judo
Baasankhuu BAVUUDORJ,Silver Medal,7/27/2024,MGL,F,Judo
Alan HATHERLY,Bronze Medal,7/29/2024,RSA,M,Cycling Mountain Bike
Aleksandra KALUCKA,Bronze Medal,8/7/2024,POL,F,Sport Climbing
France,Gold Medal,7/27/2024,FRA,M,Rugby Sevens
Fiji,Silver Medal,7/27/2024,FIJ,M,Rugby Sevens
Alisher YUSUPOV,Bronze Medal,8/2/2024,UZB,M,Judo
United States,Gold Medal,7/27/2024,USA,M,Swimming
Australia,Silver Medal,7/27/2024,AUS,M,Swimming
Alison dos SANTOS,Bronze Medal,8/9/2024,BRA,M,Athletics
Australia,Gold Medal,7/27/2024,AUS,F,Swimming
United States,Silver Medal,7/27/2024,USA,F,Swimming
Alizadeh KIMIA,Bronze Medal,8/8/2024,BUL,F,Taekwondo
Ally WOLLASTON,Bronze Medal,8/11/2024,NZL,F,Cycling Track
Pauline FERRAND PREVOT,Gold Medal,7/28/2024,FRA,F,Cycling Mountain Bike
Haley BATTEN,Silver Medal,7/28/2024,USA,F,Cycling Mountain Bike
Alvaro MARTIN,Bronze Medal,8/1/2024,ESP,M,Athletics
KANO Koki,Gold Medal,7/28/2024,JPN,M,Fencing
Yannick BOREL,Silver Medal,7/28/2024,FRA,M,Fencing
Alysha NEWMAN,Bronze Medal,8/7/2024,CAN,F,Athletics
Lee KIEFER,Gold Medal,7/28/2024,USA,F,Fencing
Lauren SCRUGGS,Silver Medal,7/28/2024,USA,F,Fencing
